patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-D7-6815-01,1.2990680925043188,0.33059567875487855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014780738415100785,0.03659347120992557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11137923692920387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6540776559648628,0.0,0.0,0.0,0.0,2.6869296533190354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01681681611120987,0.0,0.0,0.0,0.0,0.015608650331183468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08682177144651242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4476-01,0.8564059011081101,0.0,0.22518057101942354,0.0,0.0,0.18674288177920464,0.0,0.0,0.0,0.0,0.03608347779162154,0.0,0.0,0.0,0.0,0.0,0.0,0.22938464375065137,0.030380802380731937,0.003281959254993556,0.0,0.0,0.0,0.06778863698220854,0.0,0.0,0.0,0.0,0.30372538805816734,0.0,0.0,0.0,0.0,0.05154201627055006,0.0,0.04818518160962912,0.0,0.0,0.73811619940506,0.0,0.0,0.0,0.0,0.0,2.193885759714589,0.0,0.0,0.0173994149348379,0.0,0.0,0.0,0.0,0.5691897068292445,0.0,0.23649313368962302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21892065841472214,0.0,0.0,0.15574764014907538,0.0,0.007114501383371828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12704336136606828,0.0009637480693511898,0.249033053321779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38050392026893975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-6458-01,1.285666151626225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7531317905886847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026081214451200166,0.0,0.0,0.0,0.0,0.008780622514899857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503791143302871,0.12066152766073326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030839994900873528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14681352905855882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-8486-01,1.0030291027668419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17582451343147673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8691503510471101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14400391453900874,0.0,0.0,0.0,0.0,0.0,0.0,0.8072600960936707,0.0,0.0,0.9887049485696365,1.4074014271118673,0.0,0.8295573547842626,0.0,0.0,0.0,0.0,0.015124928667364217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003908438290925284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CD-5803-01,0.9494026573760111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01719009802364561,0.0,0.11389946634710015,0.0,1.9156647859914067,0.0,0.024283187426136235,0.0,0.0,0.04318586755059423,0.0,0.0,0.0,0.0,0.5680758808558996,0.5378779633520754,0.0,0.0,0.0,0.0,0.03811120748350492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20951614130722052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09594774377604708,0.0,0.0,0.0,0.6399836010681901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-D7-6528-01,0.8158558874718503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013044413203832912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039420147225876216,0.0,0.0,0.006386226380032111,0.0,0.0,4.620087004728255,0.0,0.0,0.0,0.0,0.0,0.00027941445366759456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4201-01,0.1912730128744659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960345861540168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01530967744794568,0.007031613566932749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007649282285362511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752110816782952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9045613186936715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007769126891018623,0.0,0.0,0.04479516900231866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475130251545306,0.0,0.03956420734421371,0.0,0.0,0.11290620636779099,0.0,0.0,0.000728945630614581,0.02204338463685868,0.0,0.0,0.0,0.0,0.0,0.05280159532609749,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4465-01,0.8466800570309273,0.0,0.0,0.0,0.0,0.1153311205878819,0.152343479802408,0.0,0.0,0.0,0.0,0.04363493635411278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879798667949363,0.044935189390575114,0.036268703823897984,0.0,0.022751120307320523,0.0,0.0,0.0,0.9096685449749522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3469510352589382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-8373-01,0.9824077840357942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714128343908591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03913674873540534,0.0,0.03686060677472497,0.0,0.0,0.008120272384190207,0.0,0.0,0.11273221753389329,0.0,0.0,8.137666454624739,0.00017805842264405664,0.0,0.0001554612937447368,0.0,0.0,0.0,0.00016811869215202675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000917186690192371,0.0,0.0,4.402151891149299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013574519354911442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000534894268204827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4256-01,0.7721322149633153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21046938492077702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5896081853944412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21806546273223107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637458818674799,0.0,0.0,0.0,0.0,0.5117734008542978,0.0,1.0418623262000308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41470849263502524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
