patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-D7-6815-01,0.7980093606591855,0.13102869565641126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009037383814534273,0.014429712836822829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12452987734393961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12913610317076407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020134130514835844,0.0,0.0,0.0,0.0,0.04108605537820859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025123042597105176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4476-01,0.5260847599532313,0.0,0.0722549552960936,0.0,0.0,0.0766830126391805,0.0,0.0,0.0,0.0,0.11398783038449767,0.0,0.0,0.0,0.0,0.0,0.0,0.10095258112349992,0.01786850828109651,0.0018720550688841858,0.0,0.0,0.0,0.012838838214251825,0.0,0.0,0.0,0.0,0.33958650071525853,0.0,0.0,0.0,0.0,0.0063337587695374365,0.0,0.015470427265377047,0.0,0.0,0.8950096869893216,0.0,0.0,0.0,0.0,0.0,0.5807031178870062,0.0,0.0,0.007835753690834108,0.0,0.0,0.0,0.0,0.07012704147865025,0.0,0.05782553378313458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059549206050081994,0.0,0.0,0.0219431811690353,0.0,0.0009840237118455158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018540760954499205,0.002536837311865281,0.07331311965388966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03426924840364022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-6458-01,0.7897766326494456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03162502001864343,0.0,0.0,0.0,0.0,0.006380238127841709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07707093772799004,0.04275499584800888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08117894318059772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014511727590644518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-8486-01,0.6161544707625578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457894188327559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51119190502529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07339004117589064,0.0,0.0,0.0,0.0,0.0,0.0,0.3004396096103599,0.0,0.0,0.2617018884243967,0.0847426551403867,0.0,0.3735876826234171,0.0,0.0,0.0,0.0,0.0018634674648747187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007225451519557797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CD-5803-01,0.5832120825631345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008741366500615078,0.0,0.35980880573193236,0.0,0.6030075358726968,0.0,0.014847464236702641,0.0,0.0,0.019006175505058006,0.0,0.0,0.0,0.0,0.1855759481337167,0.10187147076435554,0.0,0.0,0.0,0.0,0.04261102988492368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06497870510380865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252559589109454,0.0,0.0,0.0,0.16016428914034578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-D7-6528-01,0.5011751415557759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.975742851789917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007074911187267827,0.0,0.0,0.0015033951130878967,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.516545839345953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4201-01,0.11749780908024361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027476966950248437,0.0008603526540358846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011458767838669161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030407848454486457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36983557939598266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330830545248978,0.0,0.0,0.03639176566014355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08601041921912149,0.0,0.10414335509148673,0.0,0.0,0.026043929746416606,0.0,0.0,0.0013475871748130479,0.002456866004915952,0.0,0.0,0.0,0.0,0.0,0.03219202314284708,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4465-01,0.5201102350929205,0.0,0.0,0.0,0.0,0.047358901680590024,0.2272584625657294,0.0,0.0,0.0,0.0,0.04543668911545331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685654822541679,0.06731375360516295,0.04397795534510635,0.0,0.00175073838177057,0.0,0.0,0.0,0.24078161680552265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23883122793819628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-8373-01,0.603486924333341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013801661020883978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012784980841822089,0.0,0.006615538946257329,0.0,0.0,0.0019116105651226188,0.0,0.0,0.02440045337209488,0.0,0.0,1.0,9.074555376771778e-05,0.0,3.069309199756437e-05,0.0,0.0,0.0,1.2937026531784377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018720036231886526,0.0,0.0,1.5441025582116022e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985911240427325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4432092094485124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4256-01,0.4743159644691124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6648735104754702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19058236641690604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04394220684771197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835753309281364,0.0,0.0,0.0,0.0,0.37186841358969974,0.0,0.0627327627442519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16707213154057265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
