,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-F1-6874-01,0.35575513110457907,0.23500050471550693,0.0,0.011334692693632974,0.002129746080577891,0.0,0.0,0.0,0.0,0.021418646536217806,0.0,0.0,0.0,0.0058934812044149285,0.0,0.0,0.0,0.0,0.0,2.6261276689250947e-10,0.0,0.0,0.0,0.02460772892265862,0.0,0.0007789953206738584,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-5719-01,0.28565230120892193,0.17121738310727552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033121458623592316,0.0,0.0,0.0,0.02335814576451226,0.0,0.0,0.0,0.0,0.0870851095902167,0.0,0.0,0.0,0.0,0.09189521394797158,0.0,0.01385557475385624,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4477-01,0.4973686366407043,0.01902355241820774,0.08305163592378899,0.0,0.02851459947697014,0.0,0.0,0.0,0.014554192426280699,0.02778202022605084,0.0,0.0,0.0,0.0,0.0,0.0,0.0014514758944704702,0.057728269376730104,1.7817821539933276e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592812273589086,0.0,0.02008248539205089,1,STAD
TCGA-CG-5725-01,0.41822667830991844,0.0037729596707800424,0.03568418167399833,0.0,0.012261314849718881,0.0,0.06467435407635042,0.038271403541548114,0.0,0.0,0.0,0.0,0.0,0.0,0.07653642277298181,0.0,0.0,0.02804560113030178,0.0,0.003784231656884435,0.2081897440586629,0.0,0.0004446478732463727,0.0,0.0,0.0,0.031691591032207714,0.30262736255221256,0.005517371794245688,0.0,1,STAD
TCGA-BR-4280-01,0.0,0.03497411026715695,0.0,0.0,0.0,0.0,0.0,0.0,0.003050886535597712,0.0,0.0,0.0,0.0,0.2982873519681967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027293979797851716,0.24206804150435413,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-6707-01,0.0,0.0,0.21052581297947098,0.0,0.0,0.07722332441979086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02360115197582972,0.0,0.0,0.0,0.0,0.1325888229034109,0.0,0.0,0.0,0.0,0.0,0.0,0.015670184409289394,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4466-01,0.0,0.028264404191952877,0.09151538142957838,0.008116450755378294,0.0,0.0,0.0,0.057200684515892566,0.03817386901589501,0.010900483699992832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028292240545561648,0.0,0.0,0.15046126844982652,0.0,0.0,0.0,0.0015730850461466743,0.0,0.0,0.19268552453058077,0.0,0.0,1,STAD
TCGA-CG-4444-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591788257936917,0.0,0.0,0.0,0.0,0.0,0.13605647455305703,0.0,0.0,5.391100666890855e-05,0.0,0.0,0.0,0.0,0.0,3.3271846421209452,0.0,0.0,1,STAD
TCGA-CG-4442-01,0.8098339385298023,0.012821997144819424,0.0,0.016380092050156312,0.04000808162106267,0.0,0.028237120334307763,0.003942118287641525,2.6244296715228703e-05,0.0,0.0,0.0,0.01523699499169653,0.0,0.0,0.0,0.0014731683223140229,0.28357066515171747,2.1422456903885582e-05,0.0,0.13178690769737056,0.0,0.0,0.0010442158676403394,0.00018390414791790845,0.0,0.0,0.0,0.0015422683279696736,0.0,1,STAD
TCGA-CG-4436-01,0.13056502823394048,0.08989416688672028,0.0,0.00840915401009212,0.0011815645472822614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2186319778814933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002002201470496266,0.1767984054629203,0.0,0.0,0.0,0.0,1,STAD
TCGA-D7-6815-01,0.8680403683628799,0.05826521214632402,0.0,0.0,0.01964780856223843,0.0,0.002738037413640335,0.0,0.0,0.033686502311673916,4.556336339968696e-08,0.0,0.0,0.0306274586931207,0.0,0.0,0.0,0.0,0.03852505140508708,3.853176697140499e-06,0.0708417516385675,0.0,0.0005861612416623881,0.0,0.0001745682007370365,0.026334758336835754,0.0,0.00043377736070925006,0.006919387944315566,6.645164541392347e-06,1,STAD
TCGA-CG-4476-01,1.9503169187827574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051380115086010834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.580462866336793e-07,1,STAD
TCGA-BR-6458-01,0.6225557503627918,0.0,0.0,3.0163031368182055e-05,0.11648644548572765,0.0,0.31544166882370406,0.008253740293220676,0.00014209120936702586,0.012995798045398056,2.869897372740035e-06,0.0,0.0,0.0006153984962566318,5.9792396093486575e-05,4.2823102574967195e-06,0.008050593716030199,0.025674578795103892,7.302781654275579e-05,0.007232111424624154,0.022396911258806405,0.0,0.001918669245775216,0.0,0.0,0.0,0.0,0.1283128417252563,0.015100736155879362,0.0,1,STAD
TCGA-BR-8486-01,1.2414137510348986,0.03900969185063077,0.0,0.0,0.006539073361427922,0.0,0.0,0.0,0.0,0.020027741305420184,0.0,0.0,0.0,0.023433126339268157,0.0,0.0,0.0,0.0,0.015266877945508107,0.018842483787779696,0.038284157118282196,0.0,0.0,0.0,7.22246201974542e-05,0.01824134037633534,0.0,0.0,0.0,0.0,1,STAD
