,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-4294-01,0.34825996,0.657665,-0.13095155,-0.69603854,-0.49355757,-0.17338112,1.5501925,-0.092640065,-0.1415976,0.4564671,0.21111459,-1.0015672,1.0344026,-1.8218343,0.4663428,0.57488537,-0.34275112,0.37736708,-0.45023796,0.093399495,-0.76559544,0.83935755,0.6127397,0.24497563,1.2233105,-1.4312196,-0.1428152,0.81518817,-0.39128056,0.79583496,1,STAD
TCGA-BR-4357-01,0.5720156,0.6942751,-0.034153596,-1.3720142,-0.7740453,-0.33754203,2.3385103,-0.19926155,-0.34741607,0.44910342,0.4269969,-1.50134,1.7723427,-2.2383783,1.3795192,0.24762784,-0.39255282,0.51599246,-0.6778482,-0.5238486,-0.9218712,0.45894402,0.48629636,-0.39369494,1.9367844,-2.1216328,-0.05820757,1.0914952,-0.11124302,1.1870805,1,STAD
TCGA-BR-4363-01,0.5771938,0.8543091,0.26251912,-1.3388423,-0.79011613,-0.17370176,2.2998216,-0.13769624,-0.06285781,0.77611727,0.5491635,-1.2373782,1.256659,-2.7444935,0.48819935,0.87399495,-0.9427154,0.698042,-0.84766716,-0.34068364,-1.419003,1.1869644,1.1098504,-0.10313242,2.3591151,-2.0531185,-0.18922675,1.4106969,-1.2447666,1.0974158,1,STAD
TCGA-BR-4367-01,0.8571163,0.98429406,-0.09812863,-1.7027515,-0.9540086,-0.29932436,3.4787693,0.006025009,-0.93039143,0.811137,0.60195345,-2.1339757,2.606834,-3.653263,1.6349814,0.69842017,-0.86668146,0.50721246,-0.8941084,-0.3525688,-1.5225825,0.82102406,0.9188324,-0.26602805,2.8484912,-3.2576516,-0.3755216,1.581418,-0.13457353,1.8119316,1,STAD
TCGA-BR-4368-01,0.5801654,0.9157889,0.2821054,-1.2340002,-0.75337976,-0.09289089,2.323689,-0.05571381,-0.098895416,0.9028193,0.56048137,-1.185739,1.1530571,-3.0011384,0.1704073,1.1409779,-1.1280049,0.68560123,-0.8609205,-0.13202305,-1.5855519,1.4536691,1.3183738,0.11043134,2.4422297,-2.097838,-0.29342163,1.4874793,-1.5024682,1.1102525,1,STAD
TCGA-BR-4369-01,0.18885912,0.46429056,-0.4260524,-0.4104923,-0.35720706,-0.29358017,1.0126047,-0.18630424,-0.10333954,0.071157865,-0.044676714,-0.9256109,1.0204147,-0.8559885,0.8735662,0.020542841,0.3307452,0.19633245,-0.17184646,0.10390477,-0.09599836,0.27691737,0.0172714,0.20973992,0.3391104,-0.94448864,0.032104634,0.3225587,0.5117653,0.5711584,1,STAD
TCGA-BR-4370-01,0.57000697,0.96832204,0.19756912,-1.1826718,-0.76067096,-0.12210372,2.3217213,-0.06381176,-0.06604166,0.8848202,0.48902255,-1.2533472,1.2039402,-2.9943328,0.19459313,1.1454955,-1.0195003,0.67748374,-0.8353726,-0.05087036,-1.52075,1.5022388,1.3246366,0.22013369,2.328898,-2.0978978,-0.3077274,1.4681973,-1.3965235,1.1175513,1,STAD
TCGA-BR-6452-01,0.9056497,0.94428885,-0.2147627,-1.8460165,-1.0068572,-0.3984774,3.6826818,-0.03175465,-1.1016579,0.68845475,0.58899015,-2.3663533,2.9906263,-3.5776038,2.177611,0.4019316,-0.6559036,0.45728508,-0.8717587,-0.5226384,-1.3636686,0.4760663,0.65987355,-0.48144603,2.8275712,-3.4558218,-0.32091868,1.5187039,0.39060152,1.945135,1,STAD
TCGA-BR-6453-01,0.4404882,0.83007574,-0.57291776,-0.43181664,-0.41886646,-0.12862128,2.084461,0.1734055,-0.8000464,0.5772199,0.066851504,-1.4716879,1.7016795,-2.5463634,0.6423187,0.8516457,-0.30615416,0.08620219,-0.32194334,0.7363805,-0.8312951,1.0062966,0.6872103,0.785594,1.1488199,-2.0769067,-0.46288192,0.81768054,0.3060739,1.1864873,1,STAD
TCGA-BR-6453-11,0.33795178,0.7116293,-0.9301377,-0.08444142,-0.25826195,-0.17715676,1.8015938,0.21202117,-1.0168228,0.3311215,-0.16528073,-1.5111355,1.8532422,-2.0313673,0.94105047,0.54450333,0.17941062,-0.17038375,-0.052258216,0.9888225,-0.3547535,0.63224834,0.25574923,0.95035696,0.43445593,-1.8819506,-0.44416314,0.42186055,1.1925286,1.1212941,0,STAD
