patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BA-4078-01,0.2984665,0.14542286,0.22353053,0.5800551,0.43507195,0.62861866,0.58121717,0.8208623,0.67425025,0.3297762,0.5689322,0.67351705,0.5905641,0.12945074,0.6468648,0.47744098,0.45620662,0.45870262,0.14139733,0.75568366,0.65085346,0.37741387,0.15008168,0.27033895,0.2064392,0.38878715,0.5367171,0.70733947,0.83937246,0.48359835,1,HNSC
TCGA-BR-4280-01,0.510629,0.38785836,0.9042042,0.9781452,0.959772,0.82401395,0.11596894,0.43108267,0.34104335,0.93875754,0.31836563,0.21929434,0.2634222,0.2519296,0.47519803,0.21965583,0.61346596,0.48225927,0.71071976,0.3566996,0.20786452,0.4779347,0.50177497,0.0859371,0.72723615,0.5691691,0.28201926,0.85812104,0.049567997,0.8319077,1,STAD
TCGA-BR-6707-01,0.60053176,0.3204242,0.7672128,0.9456297,0.8908467,0.8674496,0.22473633,0.48342085,0.23857859,0.8336362,0.43003437,0.15244609,0.18334341,0.26296243,0.48244417,0.2759269,0.7174682,0.5378642,0.7437086,0.30033422,0.3764856,0.38188443,0.62533665,0.16899003,0.781886,0.50406647,0.4478795,0.7707462,0.13588262,0.6590998,1,STAD
TCGA-L5-A43I-01,0.6634674,0.6464402,0.29075056,0.73798,0.3398408,0.073314965,0.98739326,0.7720401,0.3059962,0.33341032,0.9763072,0.4608799,0.47409734,0.51664144,0.0658696,0.32388106,0.7130585,0.37402305,0.5003964,0.35865584,0.73138016,0.22277896,0.8606397,0.43180746,0.04268016,0.021593511,0.63665676,0.077294976,0.89544487,0.56033516,1,ESCA
TCGA-CG-4466-01,0.38169834,0.33186537,0.6145617,0.78243613,0.73867285,0.69437563,0.38983363,0.5981756,0.54077494,0.64244634,0.45014268,0.4121457,0.4636721,0.15571028,0.51835954,0.32013482,0.555227,0.45112652,0.48801205,0.48502755,0.47809565,0.4320385,0.34111926,0.149795,0.54358804,0.53581274,0.41982824,0.7206511,0.3659826,0.65755665,1,STAD
TCGA-QG-A5YV-01,0.9775802,0.5557491,0.07481361,0.43757775,0.6764739,0.5195385,0.37705815,0.13830101,0.37823114,0.24050224,0.8104011,0.39092493,0.9959956,0.29563785,0.3453618,0.96854836,0.1395846,0.1634225,0.8313242,0.007081032,0.35180718,0.66136956,0.5662687,0.83236355,0.940974,0.6549983,0.56250834,0.1201708,0.4461487,0.6383405,1,COAD
TCGA-CR-6481-01,0.28755203,0.15461001,0.23026657,0.5654959,0.4528929,0.643466,0.5487144,0.80117154,0.685232,0.34395,0.5389317,0.6936791,0.59651387,0.12014879,0.66675353,0.48394117,0.42356926,0.45529896,0.14422432,0.77857286,0.62127995,0.37974823,0.1385634,0.27022597,0.19995183,0.41665626,0.49616826,0.74097466,0.8221404,0.49031255,1,HNSC
TCGA-CV-7416-11,0.5451357,0.19083685,0.2738267,0.6139562,0.12984784,0.4403688,0.32377028,0.7687063,0.32758155,0.41704845,0.6464641,0.52418345,0.38690466,0.28960848,0.8021605,0.5497529,0.8004682,0.48590526,0.2962712,0.37105843,0.30894768,0.6128109,0.39977092,0.2930468,0.33758342,0.18055296,0.65020084,0.42633563,0.7678603,0.676144,0,HNSC
TCGA-BA-6873-01,0.59131825,0.18924254,0.275162,0.6320799,0.06881069,0.39924622,0.31515288,0.7787794,0.26660615,0.41712397,0.6849402,0.48400143,0.35153556,0.32159173,0.80710375,0.5545443,0.8806176,0.49298218,0.31653836,0.29375318,0.28524595,0.64538527,0.44694287,0.29649407,0.3627542,0.12474337,0.70348585,0.35460567,0.7728645,0.6984557,1,HNSC
TCGA-CV-5970-01,0.58042204,0.15591797,0.2478737,0.66711086,0.07022205,0.3893308,0.4493033,0.8426162,0.294108,0.36282137,0.75583494,0.45268443,0.36909562,0.32071382,0.7253917,0.52421844,0.91409373,0.4979343,0.28262147,0.29432255,0.42538673,0.5993233,0.4372285,0.29299656,0.358876,0.08176019,0.7978483,0.30771488,0.83307475,0.6473392,1,HNSC
TCGA-CG-4444-01,0.5821062,0.24265836,0.49819762,0.8009291,0.7121546,0.81966174,0.4626483,0.6178868,0.29166222,0.5827563,0.58412194,0.22499183,0.25151223,0.20901835,0.5158595,0.3757111,0.7507822,0.55575013,0.6334656,0.3399935,0.6547193,0.286987,0.6124387,0.26502413,0.7111113,0.4452278,0.6438538,0.62691385,0.38326335,0.4344781,1,STAD
TCGA-L5-A4OM-11,0.5488429,0.43717998,0.23604313,0.72278434,0.3312004,0.23619512,0.9593857,0.84767723,0.4382741,0.269086,0.9236701,0.48838085,0.5158042,0.38851607,0.21220876,0.37714934,0.7055812,0.43168136,0.35051185,0.44648522,0.82981217,0.28622934,0.61954767,0.3822973,0.10960374,0.069566734,0.68575656,0.2490173,0.92577845,0.47996247,0,ESCA
TCGA-CG-4442-01,0.42638466,0.3675399,0.73194426,0.8382989,0.84359336,0.75594985,0.26413858,0.51418823,0.46858883,0.76585734,0.385218,0.3392246,0.38850445,0.17587203,0.51516086,0.28265977,0.5663706,0.45753264,0.5946746,0.433114,0.3655392,0.4396298,0.41075808,0.12901177,0.64085925,0.58488613,0.36124617,0.7703254,0.2160157,0.72007424,1,STAD
TCGA-CG-4436-01,0.46351594,0.3680226,0.8028561,0.9103395,0.88070536,0.776237,0.21320385,0.49116978,0.4136206,0.8342465,0.36447215,0.2890623,0.33600694,0.21866307,0.48949453,0.25443327,0.5917663,0.4706269,0.6292811,0.403569,0.3019511,0.46392018,0.44187087,0.107024044,0.65894794,0.5557718,0.32873902,0.81083035,0.16291463,0.77300936,1,STAD
