patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-CN-5373-01,0.6597581,0.12445763,0.5130489,-0.091469094,-0.75767577,-0.2983579,-1.7393105,-0.56273305,-1.140593,0.5936204,-0.21412829,-0.42642027,-0.6283862,0.35061944,1.2882755,0.24016711,0.8455802,-0.16218942,0.51557565,-0.7531055,-1.7672436,0.61586964,0.35715008,0.1326008,0.43206406,-0.16340113,0.08297962,-0.5516117,-0.56890166,1.1163213,1,HNSC
TCGA-BA-4078-01,-0.347821,0.09635201,0.41191652,-0.26304188,0.5216243,0.41695327,-1.2669568,-0.6274732,0.14378053,0.48129052,-0.70644045,0.5981222,0.04583936,-0.26574194,0.9296861,0.049292684,-0.81922555,-0.314009,0.102259785,0.507525,-1.0958352,-0.053746343,-0.24413589,0.07360193,0.016283654,0.80229765,-0.47623274,0.37222552,-0.5380455,0.548122,1,HNSC
TCGA-BR-4280-01,0.45087478,0.65490764,3.1767302,0.590403,2.4645932,1.0358226,-2.9071178,-2.179756,-1.0393355,2.4374044,-1.4231627,-1.6509074,-1.0002825,0.15106937,0.15912929,-1.0124923,-0.21203743,-0.21682969,1.832582,-0.64402026,-2.4298534,0.26197323,0.53194153,-0.42807892,1.5141306,1.4077231,-1.0677556,0.74357367,-2.962466,1.7969527,1,STAD
TCGA-BR-6707-01,0.78931785,0.4995437,2.620288,0.52069485,2.2093623,1.1733948,-2.5236752,-1.971321,-1.4031565,2.0997434,-1.1037447,-1.9818984,-1.2563554,0.18861547,0.19165495,-0.78071886,0.18952169,0.012559526,1.9328439,-0.8067016,-1.9220674,-0.039705075,0.8046035,-0.20212638,1.6713071,1.1892158,-0.6825536,0.5283849,-2.6975107,1.177366,1,STAD
TCGA-L5-A43I-01,1.026242,1.2506635,0.6849561,0.075525165,0.16898254,-1.3418423,0.1649544,-0.82190555,-1.1637771,0.4929637,0.45881784,-0.45472533,-0.32659358,1.0519177,-1.6782146,-0.5832015,0.17249554,-0.663341,1.1933533,-0.6383741,-0.8533369,-0.53942955,1.3238441,0.51289064,-0.45469826,-0.4301337,-0.24412791,-1.1794612,-0.365923,0.82325476,1,ESCA
TCGA-CG-4466-01,-0.034490794,0.5259034,2.0002375,0.17083247,1.6458613,0.62522334,-1.94165,-1.5143147,-0.33014968,1.4856209,-1.0462267,-0.69602686,-0.359931,-0.17637739,0.3528674,-0.5986318,-0.43690166,-0.34526294,1.1557142,-0.2736409,-1.6160786,0.11782076,0.17742449,-0.25434813,0.9859463,1.2957673,-0.74770117,0.40500975,-1.9911852,1.1718332,1,STAD
TCGA-QG-A5YV-01,2.2087345,1.041717,-0.1921536,-0.5684919,1.415538,0.071467176,-1.986688,-3.3457477,-0.90729296,0.1945329,-0.01574114,-0.80109894,1.3423127,0.29981405,-0.4236638,2.0721028,-2.0417228,-1.53214,2.199131,-1.653087,-1.996384,0.8381124,0.6742591,1.6026373,2.128855,1.6957963,-0.41633382,-1.0738658,-1.7451035,1.1029353,1,COAD
TCGA-CR-6481-01,-0.38890904,0.11751862,0.43927747,-0.2942547,0.5876155,0.46397865,-1.3815403,-0.70589083,0.18277329,0.52681834,-0.79225385,0.697952,0.06486533,-0.29739767,1.0189606,0.07606611,-0.9452404,-0.32805026,0.11085175,0.5735877,-1.1848929,-0.04641448,-0.26955312,0.07329456,-0.002374433,0.89583623,-0.57040536,0.455063,-0.5909419,0.57219505,1,HNSC
TCGA-CV-7416-11,0.5807768,0.20098287,0.6162133,-0.19036305,-0.6086232,-0.17928448,-2.1745462,-0.83518225,-1.0871341,0.7616185,-0.4846676,-0.14128536,-0.605415,0.27929538,1.6267588,0.34713644,0.50998974,-0.20178884,0.5729627,-0.6025778,-2.1254513,0.68559766,0.30685043,0.13538055,0.3934633,0.10339027,-0.2126725,-0.31983656,-0.7575626,1.2384766,0,HNSC
TCGA-BA-6873-01,0.7546331,0.1973097,0.62163734,-0.15150858,-0.8346443,-0.30953068,-2.2049255,-0.7950669,-1.3036392,0.7618611,-0.37461033,-0.34024185,-0.71851707,0.3881385,1.6489475,0.3668719,0.8194517,-0.17259409,0.63456,-0.82569575,-2.1968267,0.7879084,0.41094422,0.14475915,0.46585608,-0.08392639,-0.08892077,-0.4964946,-0.74220145,1.3184731,1,HNSC
TCGA-CV-5970-01,0.713614,0.12053208,0.5107954,-0.07640754,-0.829418,-0.3409355,-1.7319989,-0.54083896,-1.2059885,0.5874352,-0.17182247,-0.49530423,-0.6623641,0.38515076,1.2821683,0.24196312,0.9487052,-0.15216489,0.5314776,-0.82405245,-1.7748065,0.6432351,0.3895076,0.13524385,0.45470208,-0.2281931,0.1302311,-0.6119783,-0.5573773,1.1351995,1,HNSC
TCGA-CG-4444-01,0.7199539,0.3203763,1.5275809,0.21047863,1.547664,1.0220379,-1.6849531,-1.4358156,-1.2146728,1.2938899,-0.6629916,-1.622697,-1.0383677,0.005036827,0.34164557,-0.36971998,0.31814906,0.08634501,1.5977861,-0.6922372,-1.0841936,-0.3377625,0.7761418,0.059142508,1.4677545,0.99173236,-0.22741327,0.17415166,-1.9381392,0.37200582,1,STAD
TCGA-L5-A4OM-11,0.59473276,0.76854146,0.46274114,0.04294802,0.13698709,-0.8259572,0.06621788,-0.52068365,-0.69409883,0.28634703,0.30825433,-0.31855762,-0.19322519,0.6158905,-1.021345,-0.36379603,0.14362513,-0.42548084,0.7378145,-0.38488147,-0.55691844,-0.3401422,0.7918291,0.37819406,-0.26222157,-0.26911867,-0.13009621,-0.75653994,-0.27280977,0.53508586,0,ESCA
TCGA-CG-4442-01,0.13373289,0.6080953,2.4770312,0.2905937,2.0343826,0.8202452,-2.3847685,-1.8487911,-0.5864605,1.8820301,-1.2319378,-1.057087,-0.60029936,-0.10776436,0.33850968,-0.7529869,-0.3938755,-0.31883547,1.4798899,-0.42347348,-1.9550314,0.14166376,0.33109567,-0.31089064,1.2657049,1.460475,-0.8837551,0.52734876,-2.4515305,1.3959843,1,STAD
TCGA-CG-4436-01,0.27351537,0.60920733,2.7650666,0.4450379,2.1718087,0.8845001,-2.564331,-1.9404612,-0.7816358,2.1017036,-1.2912793,-1.3054596,-0.7681738,0.03785905,0.2233018,-0.8692483,-0.2958211,-0.26481736,1.5850682,-0.50874597,-2.1465209,0.21795598,0.3997518,-0.37071007,1.3177292,1.3627571,-0.9592513,0.6271051,-2.614532,1.5857782,1,STAD
TCGA-LN-A49V-01,-0.7116764,0.93005097,0.77895117,-1.0544333,1.1388507,-0.28816238,-0.29836425,-0.34331962,0.54007494,1.1417468,-1.2726135,1.4749734,0.6471602,-0.13901195,-0.10876549,-0.99461514,-1.4941077,-0.94464356,0.1875566,0.40924528,-1.3136393,-0.13335039,1.3443631,0.2204841,-0.4712144,1.9419214,-1.2588705,0.076702185,-1.2614759,0.9832446,1,ESCA
