,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-4357-01,0.4697089,0.23393026,0.5279446,0.58254004,0.42284846,0.57484114,0.36757886,0.3176669,0.7751052,0.43698072,0.45470858,0.7212892,0.29582098,0.6334933,0.40986615,0.5313565,0.51017106,0.59989005,0.62418467,0.27332112,0.5072385,0.49857494,0.41270512,0.37450787,0.3734063,0.7298212,0.7765374,0.52539176,0.44838113,0.2352194,1,STAD
TCGA-BR-4363-01,0.47605684,0.3967099,0.66304183,0.5932951,0.40657812,0.71975017,0.35685325,0.39809853,0.9025479,0.7394164,0.53103495,0.81046224,0.15754357,0.4993093,0.18350634,0.8020543,0.22387552,0.75900054,0.5221681,0.36039418,0.25275105,0.8105498,0.77686137,0.5002157,0.47105044,0.7455467,0.5576987,0.7348475,0.13325667,0.20097663,1,STAD
TCGA-BR-4367-01,0.81921184,0.52892494,0.49881205,0.47530758,0.24065119,0.6086428,0.6836912,0.5858622,0.51401293,0.77180415,0.5640167,0.5075687,0.5195848,0.2583714,0.4747434,0.7261759,0.26344234,0.5922164,0.49426913,0.3547442,0.19972754,0.6537353,0.6653066,0.4297412,0.58419573,0.46908164,0.24653411,0.8468724,0.44189516,0.47384876,1,STAD
TCGA-BR-4368-01,0.47969964,0.45924446,0.6719609,0.62728727,0.44377053,0.7912236,0.36346996,0.50520396,0.88640803,0.8565956,0.5381061,0.8279072,0.12976333,0.4312662,0.10279977,0.9174366,0.12745392,0.7481274,0.51420635,0.4595874,0.1674928,0.9248394,0.8986392,0.59261113,0.4902668,0.73528266,0.38366407,0.78523105,0.061614513,0.20587893,1,STAD
TCGA-BR-4369-01,0.0,0.0,0.34948397,0.89428693,0.8448612,0.6137233,0.0,0.3345949,0.88441765,0.087441325,0.16001958,0.9157852,0.09419611,0.99999994,0.2813742,0.4332169,0.88656336,0.32050848,0.9281588,0.5717429,0.9300122,0.42057198,0.13879406,0.63557565,0.0040191635,1.0,0.9273841,0.02082634,0.6215801,0.0,1,STAD
TCGA-BR-4370-01,0.4672465,0.51267886,0.63346523,0.64392906,0.43638885,0.7653862,0.36292446,0.49462444,0.901122,0.83994937,0.49346054,0.80506754,0.14340732,0.43307054,0.10894202,0.919389,0.18391794,0.7410327,0.5295539,0.4981658,0.2006656,0.9456527,0.9022967,0.64007235,0.46406418,0.73526895,0.3597694,0.7725785,0.09106761,0.20866634,1,STAD
TCGA-BR-6452-01,0.8787086,0.48823336,0.4456999,0.42885786,0.18714654,0.5209466,0.74022156,0.5365052,0.43730932,0.6583426,0.55591756,0.4290657,0.62249637,0.27843058,0.6125498,0.59804213,0.37312767,0.54858,0.50769544,0.27389646,0.28107738,0.50591224,0.5140744,0.33654356,0.57935894,0.4235975,0.3377363,0.8057202,0.5878961,0.5247189,1,STAD
TCGA-BR-6453-01,0.30847034,0.37206075,0.28260526,0.8873731,0.7824364,0.75962174,0.29714912,0.8045354,0.5723895,0.5554681,0.2296994,0.73130643,0.27687308,0.55183864,0.22264653,0.7923956,0.5551315,0.22425508,0.83799005,0.8724096,0.55360544,0.73312914,0.53003913,0.8847109,0.19122648,0.7400868,0.100617945,0.34571838,0.56439704,0.23499285,1,STAD
TCGA-BR-6453-11,0.18277168,0.25158218,0.119936466,0.99999994,0.9450346,0.71669436,0.2187303,0.85498464,0.47530368,0.32786626,0.08466943,0.71798,0.3175137,0.68837714,0.29851252,0.65965754,0.8078114,0.0,0.99999994,0.99241567,0.7975525,0.57284015,0.27806538,0.9559934,0.026063345,0.7848332,0.13188356,0.08598682,0.81083524,0.21009572,0,STAD
TCGA-BR-6454-01,0.55821633,0.45382205,0.37752452,0.6402775,0.43179798,0.5830585,0.4852376,0.53724295,0.6139241,0.5501827,0.3677917,0.5879372,0.4240903,0.47011358,0.42536968,0.6531684,0.5336582,0.46613628,0.66033673,0.51245767,0.46742088,0.61820996,0.5116762,0.5865991,0.3653647,0.6184897,0.3619718,0.570935,0.5588155,0.34606183,1,STAD
TCGA-BR-6454-11,0.260484,0.23874179,0.36316773,0.937114,0.92736435,0.9174586,0.23838323,0.95986044,0.52422744,0.65915805,0.307387,0.849084,0.17486477,0.5425537,0.09854913,0.8891268,0.36518002,0.17072663,0.84692323,0.92891586,0.45085913,0.7756283,0.59126925,0.8984379,0.21486884,0.77767503,0.0050165653,0.3354408,0.44515312,0.19066732,0,STAD
TCGA-BR-6455-01,0.7658417,0.46885327,0.5731591,0.48224396,0.2745492,0.65956664,0.62164986,0.56039304,0.58590245,0.7986776,0.60181636,0.59024173,0.43011072,0.2945469,0.4005039,0.75495166,0.18941015,0.6434709,0.47832614,0.32470864,0.16489047,0.6851618,0.7068035,0.40792388,0.5923975,0.52278733,0.31659395,0.85139114,0.33660567,0.41720498,1,STAD
