,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-4367-01,0.55763376,0.47228092,0.33895874,0.51497567,0.40672565,0.47831118,0.32705796,0.54767156,0.59817463,0.3937521,0.4794705,0.7791256,0.51063746,0.4087754,0.4843617,0.4371274,0.44714803,0.43025082,0.45055288,0.6197041,0.56960714,0.562038,0.4471388,0.78496015,0.37298167,0.5796974,0.750456,0.6366053,0.5223599,0.5355853,1,STAD
TCGA-BR-4368-01,0.26807696,0.28129658,0.07779763,0.19821674,0.7378511,0.8115011,0.7162917,0.111718684,0.25480008,0.17259291,0.48215735,0.5025283,0.18106472,0.210672,0.81049013,0.7964463,0.76282597,0.7256421,0.77698237,0.886245,0.88119704,0.25119275,0.7745503,0.42587772,0.7170798,0.25965074,0.4016727,0.4081735,0.19570093,0.21565841,1,STAD
TCGA-BR-4369-01,0.0,0.082467735,0.1215454,0.0057088137,0.99179786,0.9854209,0.960642,0.07013604,0.011159889,0.053291157,0.0,0.11850327,0.00030379742,0.039624646,0.9850703,0.88926697,0.99999994,0.96567994,0.986334,0.96705997,0.9708694,0.0,0.9924779,0.083292335,1.0,0.010327384,0.0,0.0,0.0019500908,0.0,1,STAD
TCGA-BR-4370-01,0.2856843,0.25932068,0.071803354,0.23166862,0.7065008,0.7850101,0.66222733,0.15584284,0.29528183,0.16194934,0.486099,0.5954072,0.19461054,0.20248105,0.7851198,0.7797227,0.7329947,0.7007116,0.7493738,0.88203275,0.8738963,0.27884614,0.74230814,0.5011685,0.6763401,0.29193717,0.45700875,0.43111986,0.22825791,0.24063648,1,STAD
TCGA-BR-6452-01,0.6059132,0.507013,0.37339774,0.55856013,0.36847955,0.44289678,0.2913562,0.57516724,0.6351355,0.43919048,0.5284933,0.73950213,0.54730916,0.45840168,0.44480264,0.40591568,0.40482157,0.39778596,0.41206104,0.5721628,0.51939726,0.6023346,0.40678912,0.80502605,0.33400035,0.61930525,0.77355003,0.6772416,0.5656753,0.5772205,1,STAD
TCGA-BR-6453-01,0.21671632,0.11571031,0.033404134,0.20306197,0.77970994,0.8433652,0.6971723,0.11508803,0.25014096,0.084064886,0.46492684,0.6574714,0.13492161,0.12812635,0.8445804,0.8959036,0.7803765,0.7985617,0.81983745,0.9248203,0.8647024,0.21591759,0.7940326,0.44198343,0.72990286,0.2325255,0.43570176,0.3377493,0.20216484,0.18053772,1,STAD
TCGA-BR-6453-11,0.09534272,0.0,0.0,0.11367127,0.89717627,0.93343866,0.8022269,0.04438424,0.14785282,0.0043242574,0.38847703,0.6275036,0.036156178,0.035294816,0.9394303,1.0,0.8828809,0.9073685,0.92482066,0.9929013,0.9307141,0.10760194,0.89330125,0.32941672,0.8450006,0.12856872,0.33859006,0.20661351,0.114812315,0.07494147,0,STAD
TCGA-BR-6454-01,0.39617595,0.30778694,0.07964455,0.32024005,0.5888343,0.70032954,0.5235735,0.25558108,0.40473068,0.2007846,0.44183636,0.759946,0.29404262,0.24863528,0.6960545,0.6823535,0.63335496,0.6195574,0.6519147,0.8385731,0.7729633,0.3784873,0.64607847,0.61683667,0.55268675,0.39093143,0.5895432,0.522591,0.3208399,0.34099188,1,STAD
TCGA-BR-6454-11,0.13924211,0.14850365,0.03000053,0.1063261,0.8639482,0.909937,0.8279686,0.008766502,0.1499132,0.086686626,0.48695332,0.49970442,0.067935094,0.115029745,0.9156651,0.9397685,0.86757994,0.8386902,0.8920113,0.9628707,0.95837575,0.14022633,0.8785418,0.32013252,0.83487296,0.15546383,0.3358517,0.29762197,0.10727137,0.10096702,0,STAD
TCGA-BR-6455-01,0.5299348,0.51681256,0.2986807,0.45866475,0.43723577,0.5231476,0.40003508,0.46018296,0.5451102,0.38272056,0.49446744,0.6424684,0.47514766,0.40790355,0.5272563,0.46462268,0.49324232,0.44235146,0.48669928,0.6615857,0.6501457,0.5269629,0.49623126,0.7354044,0.42150176,0.53563565,0.67583156,0.6390854,0.45995882,0.49717313,1,STAD
