,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tumor,project
TCGA-D7-6815-01,0.27602232,0.7826913,0.309188,0.6632171,0.7333052,0.68720746,0.73384154,0.30638236,0.22870472,0.6495888,0.7159767,0.25141287,0.7285408,0.34156394,0.25275096,0.6152702,0.700155,0.3030694,0.23551612,0.74807125,0.65818846,0.76258934,0.21600646,0.77967304,0.74907184,0.208701,0.72677475,0.7969381,0.9070656,0.22128764,0.7471931,0.77358615,0.35490084,0.2962728,0.72167444,0.3094809,0.24760725,0.31867388,0.7635782,0.38906726,0.76796705,0.41639453,0.6799066,0.6216731,0.20751025,0.742502,0.23831245,0.81288075,0.66990846,0.31836003,1,STAD
TCGA-CG-4476-01,0.103534445,0.9793179,0.15579431,0.8329395,0.89606696,0.83226407,0.89929754,0.15280823,0.05247175,0.81505054,0.88027793,0.07400137,0.88823944,0.18725003,0.0877144,0.77415967,0.8581305,0.14417289,0.05533146,0.9243928,0.79695976,0.9468709,0.027817037,0.95781,0.91865456,0.013666101,0.8901695,0.9943626,0.95004874,0.03188982,0.9417574,0.97419846,0.20377964,0.1355835,0.8903864,0.16055979,0.045802683,0.18320365,0.9503034,0.2483801,0.949779,0.272416,0.83411205,0.7783456,0.012623027,0.92095566,0.05809239,1.0,0.8229294,0.16744559,1,STAD
TCGA-BR-6458-01,0.13362019,0.93802917,0.17884676,0.80040944,0.8686766,0.8105986,0.8713497,0.17721502,0.0814011,0.78256726,0.8522899,0.10527642,0.863443,0.21322818,0.1139679,0.74622166,0.83069927,0.17091618,0.08854079,0.89588505,0.78013587,0.9127608,0.061345253,0.92738885,0.8910102,0.052909844,0.8619972,0.953134,0.9576294,0.06528125,0.90252054,0.93250865,0.22913414,0.16453637,0.8622299,0.18405955,0.086531,0.20128219,0.9166518,0.2729068,0.91701895,0.29577404,0.8114014,0.7501021,0.0508278,0.8840529,0.09038898,0.96458685,0.79812074,0.19233038,1,STAD
TCGA-BR-8486-01,0.20863308,0.8622327,0.2510352,0.7208662,0.79870903,0.74222136,0.80053365,0.24865733,0.15518126,0.704839,0.7802491,0.18164618,0.7919736,0.28407776,0.18521717,0.6652021,0.76023364,0.243353,0.16255172,0.8205565,0.70991397,0.83637094,0.13716297,0.8561927,0.8180034,0.12836915,0.79008913,0.87720484,0.9827811,0.14395693,0.82172287,0.85181177,0.3050741,0.23555927,0.7868272,0.2521115,0.16977344,0.26344636,0.83925474,0.3460879,0.8425138,0.3730693,0.73784107,0.67156917,0.1275479,0.8100991,0.16426185,0.8975089,0.72579783,0.26374406,1,STAD
TCGA-CD-5803-01,0.6889488,0.329207,0.70662856,0.2806037,0.31305856,0.2952777,0.3102154,0.703248,0.6689485,0.2720099,0.30700016,0.67871606,0.3157881,0.7170853,0.68012124,0.25892663,0.30226862,0.70264935,0.67468405,0.32189614,0.2847116,0.32734382,0.66436195,0.33341664,0.32139087,0.66325057,0.31026942,0.3413148,0.5412058,0.66681266,0.3186946,0.33257943,0.72626704,0.69875157,0.30914915,0.7009936,0.6814853,0.7109575,0.32705998,0.7449231,0.33195037,0.7524062,0.29163158,0.25854862,0.6590557,0.31277734,0.67202264,0.34578347,0.28935432,0.70674586,1,STAD
TCGA-D7-6528-01,0.42679757,0.62109804,0.45494598,0.5201213,0.5825537,0.5455141,0.5812019,0.45094776,0.38655457,0.5083757,0.5675465,0.40505725,0.5805948,0.48298776,0.40531465,0.47849113,0.5562177,0.44938797,0.39197665,0.593119,0.51823246,0.6069767,0.3761669,0.6217649,0.59556013,0.3689114,0.57737976,0.6365156,0.80660385,0.38134542,0.5914407,0.6162551,0.49380213,0.4411127,0.5716403,0.45234394,0.40543377,0.46346334,0.6051731,0.52393913,0.6115974,0.5469094,0.5355346,0.48281592,0.36790705,0.59134555,0.39326292,0.65035427,0.52788657,0.4592188,1,STAD
TCGA-BR-4201-01,0.73974025,0.26038355,0.73755825,0.25432116,0.26228648,0.25621307,0.25884366,0.73894787,0.7282286,0.2497527,0.25698537,0.73175836,0.26491296,0.7489903,0.737606,0.25408494,0.25696325,0.7408508,0.73836297,0.26390117,0.27385938,0.26859546,0.73808634,0.26328135,0.26573634,0.7412951,0.26220798,0.26010376,0.33878464,0.7282167,0.26657802,0.26552135,0.740228,0.73822004,0.2644059,0.7450908,0.7358285,0.75430477,0.26329416,0.7511159,0.26999462,0.75136465,0.26189542,0.2436626,0.7373212,0.26128846,0.7335815,0.24284926,0.26122457,0.7405721,1,STAD
TCGA-CG-4465-01,0.3076973,0.7292104,0.32716638,0.6504846,0.7012956,0.6728618,0.6992283,0.32449114,0.27292898,0.6403909,0.68852174,0.2873565,0.70028806,0.35558385,0.28814992,0.6181894,0.678435,0.3239929,0.27900013,0.7098241,0.65234655,0.7193536,0.26599506,0.73007286,0.7128011,0.26327792,0.6982547,0.7407168,0.77301866,0.26946154,0.7072946,0.7268461,0.35791802,0.3193255,0.6935886,0.327569,0.29101336,0.33515233,0.71927214,0.38284478,0.72335804,0.4030307,0.6651373,0.62176025,0.26113546,0.70781755,0.28103286,0.7420253,0.657049,0.33173043,1,STAD
TCGA-BR-8373-01,0.5981381,0.4063865,0.5998026,0.38972843,0.40523607,0.3964656,0.400679,0.6004375,0.5815987,0.38523883,0.3980317,0.58535117,0.4105037,0.6179648,0.5885792,0.38507354,0.39671427,0.602486,0.59027094,0.41017944,0.40532142,0.41331446,0.5869175,0.40830588,0.41143644,0.59212345,0.4053207,0.4144023,0.43464977,0.5818988,0.40749717,0.41804147,0.60832536,0.59879714,0.40831608,0.60572845,0.5931339,0.61787754,0.41182482,0.6254629,0.41365516,0.6254701,0.40004665,0.37719935,0.5858627,0.404028,0.5889515,0.39125597,0.39620155,0.60134923,1,STAD
TCGA-BR-4256-01,0.65467334,0.35860986,0.66091955,0.3244524,0.35193318,0.33460087,0.3474409,0.66208005,0.63531816,0.31974375,0.34087837,0.64260644,0.35236776,0.6787744,0.64368993,0.31248975,0.33840746,0.6619899,0.6411654,0.35348797,0.3370427,0.3600964,0.6381297,0.36166292,0.35545135,0.63709915,0.34795183,0.36621255,0.49523026,0.63494885,0.34952015,0.362979,0.6750402,0.6581842,0.34833878,0.66531473,0.64937896,0.675718,0.35670036,0.69225776,0.36231345,0.7006746,0.33569485,0.3064841,0.63416064,0.3508411,0.6411828,0.35889184,0.3318395,0.66503793,1,STAD
