,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tumor,project
TCGA-D7-6815-01,1.123714,-0.3611386,1.465675,-1.0415876,-0.923194,-1.0026442,-0.824733,1.1502866,0.7753524,-0.95990574,-1.0782366,1.0336854,-1.1656543,0.75583893,0.78552264,-1.5716016,-0.9700487,1.2999457,0.5439452,-1.0494516,-0.8548663,-0.8295813,0.48621362,-0.41401327,-0.9974257,0.19058825,-0.98662674,-0.33441955,1.0215056,0.7119729,-0.69892514,-0.6594722,1.2909552,0.87263155,-1.1772864,0.7379256,0.9538593,0.45037493,-0.6926155,0.80713195,-0.7492105,1.4382585,-1.3898422,-1.0805156,0.3966082,-0.5509154,0.68162256,0.36272332,-1.1479203,0.94130033,1,STAD
TCGA-CG-4476-01,0.6503752,0.029927917,1.0297048,-0.71860075,-0.5069038,-0.7008244,-0.4014827,0.78789556,0.35880142,-0.6713714,-0.6393521,0.57157856,-0.71262735,0.5284608,0.4127457,-1.2670336,-0.58930224,0.8304693,0.09964545,-0.57294273,-0.6689595,-0.32194734,0.1238815,-0.050831325,-0.5503981,-0.25596988,-0.553257,0.075160235,1.0491676,0.3222155,-0.37271774,-0.2834143,0.9871234,0.56630075,-0.7384299,0.50894874,0.46249673,0.28769687,-0.29128844,0.6363176,-0.23969866,1.2126263,-1.0095166,-0.8409617,-0.007847734,-0.26007706,0.24840616,0.7302628,-0.8408589,0.66045696,1,STAD
TCGA-BR-6458-01,0.732936,-0.05219046,1.0952237,-0.78050643,-0.5769592,-0.7459038,-0.47297564,0.84548855,0.42717993,-0.72801614,-0.7141142,0.65304124,-0.7829689,0.566739,0.4720459,-1.3205867,-0.65541595,0.90948516,0.18153308,-0.64998496,-0.69149786,-0.41590935,0.18843535,-0.11285326,-0.62326974,-0.16611615,-0.627978,-0.010373212,1.0540462,0.39093095,-0.4385025,-0.36156392,1.038099,0.6214952,-0.81167114,0.54508126,0.5616638,0.30940628,-0.36361557,0.66609657,-0.3315057,1.2492312,-1.065529,-0.8841463,0.07143991,-0.32022005,0.3260413,0.66070443,-0.89064157,0.7067662,1,STAD
TCGA-BR-8486-01,0.9387854,-0.2029404,1.3003951,-0.9318796,-0.7559129,-0.8881767,-0.6541289,1.0140721,0.60156953,-0.8635598,-0.906551,0.851963,-0.98571044,0.6711343,0.63298047,-1.4758894,-0.8252497,1.1235073,0.3640294,-0.8535603,-0.7855716,-0.6263377,0.33441162,-0.25800645,-0.815719,0.00665788,-0.8186988,-0.16789705,1.0702326,0.5528358,-0.57396823,-0.51283425,1.1907777,0.75689006,-1.0078098,0.64971596,0.7643461,0.38405553,-0.5299645,0.75494885,-0.5402997,1.3703625,-1.2469552,-1.004224,0.2306597,-0.44074762,0.5036183,0.5289499,-1.0357691,0.839663,1,STAD
TCGA-CD-5803-01,2.256861,-1.2630638,2.5952668,-1.7697124,-1.9980443,-1.818134,-1.9084045,2.0867763,1.8159293,-1.6183327,-2.1707025,2.14669,-2.3365347,1.3091613,1.7508469,-2.2546604,-1.9290197,2.4805465,1.6268466,-2.2011895,-1.3551995,-2.0285368,1.3494587,-1.3238318,-2.1248116,1.2313395,-2.0913184,-1.2796627,0.7860552,1.6288084,-1.4173477,-1.4861616,2.0375931,1.639899,-2.250354,1.3399043,2.0102847,0.9214448,-1.630821,1.2391918,-1.9711088,1.9648304,-2.347467,-1.635737,1.3337156,-1.2512676,1.7241833,-0.5547492,-1.9115638,1.6640646,1,STAD
TCGA-D7-6528-01,1.5374693,-0.682528,1.8799434,-1.3139033,-1.3087659,-1.2974662,-1.215198,1.4914197,1.1484523,-1.206155,-1.4747263,1.4338858,-1.5853416,0.9642238,1.1301264,-1.8337872,-1.3169612,1.7322593,0.9297459,-1.4682099,-1.0423602,-1.258242,0.7945799,-0.7359531,-1.4020894,0.557411,-1.3828651,-0.6672346,0.9568531,1.0413522,-0.9600603,-0.9543972,1.5702186,1.1487478,-1.5675576,0.95758766,1.3381423,0.62424386,-1.0330745,0.97088563,-1.1874225,1.6427915,-1.745915,-1.2928298,0.7294851,-0.7972655,1.0540954,0.043488733,-1.4329102,1.2034307,1,STAD
TCGA-BR-4201-01,2.3962421,-1.3999454,2.6831741,-1.819729,-2.1279023,-1.8994159,-2.0398178,2.1710176,1.9560461,-1.6571451,-2.304303,2.2848501,-2.4808552,1.3561726,1.8806907,-2.2639413,-2.038213,2.5934167,1.783866,-2.357921,-1.3697377,-2.190369,1.4914045,-1.4668221,-2.2715194,1.4100326,-2.218791,-1.4481444,0.6557863,1.7551703,-1.5047265,-1.6118653,2.065662,1.7151399,-2.366741,1.4077069,2.142602,0.97349787,-1.7678725,1.2467107,-2.1447344,1.9631982,-2.420807,-1.6584979,1.4961426,-1.3351825,1.8721597,-0.7569326,-1.9680107,1.7270133,1,STAD
TCGA-CG-4465-01,1.210636,-0.4675056,1.5167725,-1.0658178,-1.0050638,-1.0324932,-0.9132767,1.1930181,0.8798825,-0.97594523,-1.151575,1.1273085,-1.2458004,0.77649695,0.8654801,-1.566006,-1.0223975,1.3617663,0.6511681,-1.1528146,-0.8626925,-0.94868124,0.58245957,-0.5151371,-1.0930369,0.3155493,-1.0622702,-0.45105717,0.93523926,0.8111089,-0.7658191,-0.74708885,1.2970213,0.9165782,-1.2503436,0.76573735,1.0595465,0.4701629,-0.7878423,0.799577,-0.8742234,1.4173157,-1.4262686,-1.0803823,0.5078984,-0.607443,0.7843147,0.22354895,-1.1737248,0.96618193,1,STAD
TCGA-BR-8373-01,2.0076594,-1.1095632,2.2916498,-1.5620449,-1.762285,-1.6075919,-1.676991,1.8441728,1.6094661,-1.4208827,-1.9275373,1.9035007,-2.0678492,1.1631094,1.5440758,-2.012855,-1.7013904,2.1846035,1.4187005,-1.9626039,-1.193623,-1.7917166,1.2003504,-1.1711491,-1.8874475,1.0684845,-1.839215,-1.1280342,0.7174806,1.4540662,-1.2684609,-1.3259586,1.8004694,1.4493504,-1.9923995,1.1934273,1.7951628,0.80967057,-1.4486365,1.09415,-1.7421383,1.7659059,-2.0800767,-1.4543186,1.1818157,-1.10255,1.5244955,-0.46543217,-1.6971575,1.4679273,1,STAD
TCGA-BR-4256-01,2.1628027,-1.2045852,2.4653542,-1.6862671,-1.898616,-1.736314,-1.8131785,1.9896315,1.7364393,-1.5350938,-2.0802064,2.0526345,-2.2327669,1.252711,1.6685575,-2.1519878,-1.8419192,2.360414,1.544196,-2.1158125,-1.2850934,-1.9383144,1.2989522,-1.2662438,-2.0350268,1.1714624,-1.9913737,-1.2280095,0.75646746,1.5632366,-1.3656653,-1.4291761,1.9346007,1.5625632,-2.1484134,1.2850455,1.9321108,0.87912774,-1.5671152,1.1752485,-1.886019,1.8837607,-2.2387912,-1.5624431,1.28205,-1.1892323,1.6500499,-0.5290018,-1.8263104,1.5864484,1,STAD
