,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-BR-4280-01,-1.9147592,1.9391394,-1.6498481,-2.369168,-2.5815291,-3.6172357,3.4042273,-4.293873,-2.7528372,2.4356482,0.068069845,-2.6415133,-5.2862463,-3.4828885,1.5874785,1.9658029,-2.2800272,-1.2886844,1.7944622,3.2622304,-1.4375348,0.5378758,-2.090328,0.36486503,-0.81568617,3.3341596,2.250487,1.1341107,-0.15685907,-4.17177,-1.3885227,-0.81008023,2.8081844,0.7305405,-1.0032729,-0.42883706,1.0326878,2.0354936,-1.8247627,2.2178545,1.2786319,-0.73278695,-3.4575093,-0.4375212,1.9732814,-0.56478703,0.9200262,-0.6359215,-0.26905423,-3.0352557,-0.02321557,0.62369066,-2.5972018,2.477337,-0.842896,-3.011351,-5.4931436,1.8534497,-3.807611,-4.442274,0.20534915,1.0752033,-0.994062,-0.29751414,0.32398507,-1.0087618,-0.26853472,0.68620634,-0.16031992,0.5558922,-3.5126464,-4.5264244,1.7057458,-3.23236,-0.061592147,2.2686613,-0.4186025,0.45445675,1.7080829,-2.4142003,2.4174838,0.48371425,0.9694961,-3.093712,-1.2676188,-2.6646483,1.9889882,-1.8228983,3.4296925,0.7387915,2.0161893,4.386743,1.8317208,0.66667,3.1124992,-3.3332372,-1.8268455,-5.1655807,-1.8872974,-0.9868731,1,STAD
TCGA-BR-4292-01,-1.4856637,1.3936702,-2.0676544,-2.4081316,-2.3405964,-1.4351535,1.9802716,-3.5843976,-1.0465063,1.5940663,0.79972506,-2.3377762,-4.354844,-3.2019715,0.47021917,0.23725067,-1.2208622,-0.024010222,0.18387417,2.915582,-1.3467404,-0.5126179,-1.0094405,0.7776424,-1.5237035,1.8753989,1.0770185,1.1499491,-0.39282984,-2.793462,-2.1329465,-1.6569794,3.0158916,1.0562676,-0.22895111,-0.6027379,1.1454476,1.6427493,-0.45491123,1.0003588,0.6434308,-1.4784393,-2.5468264,-0.024537688,2.150892,0.15252572,2.0867314,-1.4366908,-0.43117055,-1.4992223,-0.5190321,1.7227305,-1.3450707,1.58155,-0.4166131,-2.2819188,-4.2562456,1.4130132,-3.342017,-3.3877907,0.83740854,1.2641618,-0.9652471,-0.9076803,-1.221949,-1.3308339,0.219832,1.1070398,-1.0837265,0.5600339,-1.9299053,-3.673589,2.3160622,-1.7372332,-0.2217096,2.8687844,-0.74549913,0.111934885,1.8229237,-1.0085162,1.4106158,-0.4656249,-0.58924216,-2.6932046,-1.425254,-0.49764806,1.0948595,-1.9446516,3.7205892,0.90557,2.0913043,2.857725,2.2575495,0.550615,2.6927445,-3.6609242,-1.7323676,-3.8187356,-1.4684236,-1.2084445,1,STAD
TCGA-BR-4294-01,-0.5388273,-3.188137,-1.0249627,3.179998,0.076747715,-1.819441,-0.6289109,-2.0872936,1.3921342,3.9479654,0.7051612,-0.24752831,-2.2514877,-2.153853,-1.3821316,-1.7812772,3.9921703,1.5981696,-3.7170696,5.027186,-5.438399,2.020933,0.70244366,-3.4661398,-1.810975,-2.3266146,-1.7463802,-2.4862056,-3.274334,-0.7944201,-1.4981503,1.226592,4.3023357,0.3852518,0.92056376,-0.7989113,4.476826,1.9455602,0.083489165,-2.3934386,-0.5887923,-2.2768939,-1.5408536,1.1550364,0.6087155,1.3389367,-2.0419784,-1.1973333,0.19007128,4.0033813,0.28703234,-1.4916141,3.2601445,-0.39100236,3.50541,1.1698415,-0.12593403,-1.7855781,-4.239218,-1.897483,-0.6149813,-1.5971707,0.3237558,-1.4129223,1.2003977,0.1473686,-1.2785698,0.6526262,-2.6917086,-2.4493282,3.7343197,-1.0951424,1.1078944,0.5673802,-0.705273,1.9685338,1.126393,2.1693883,-3.629017,1.0905396,-2.075352,-0.8843285,1.0367386,0.92577565,-3.9460547,-0.14964783,-1.3663718,0.50627023,-0.27068713,1.0251439,0.0034962967,-2.7796874,-0.12498553,2.7140298,-0.93456286,-0.76884204,-0.599726,-2.7854583,0.98562765,0.08046857,1,STAD
TCGA-BR-4357-01,-1.010969,0.5070875,-1.5431985,-1.0643576,-0.63180643,-0.64892495,0.46259105,-3.0210505,0.18369395,2.2351065,-0.7446318,-1.5445321,-1.9472913,-2.9625287,-0.7577191,-1.2912956,-0.9944404,-0.2561377,-1.5163682,2.3217692,-1.515688,0.5124407,0.7120181,0.44230464,-1.2306348,1.1491604,2.1655948,-0.22029215,-0.10811205,-2.1955922,-2.1305313,0.03297787,3.5270712,-1.0364693,-0.9153055,-1.2915875,0.7060563,2.595028,-1.3217057,0.5907389,0.4461693,-2.3480604,-2.6628907,0.51682496,1.6643294,-0.27977633,0.80878896,-0.08331792,0.10795533,-0.38640392,0.41621202,0.21869923,-1.4265759,-0.33127597,-1.7437835,-2.243038,-2.2363446,2.3496432,-2.1479013,-1.2357935,1.3228714,1.2548609,-0.1884456,-0.9379013,-1.2945673,0.27346206,-0.24746203,0.079687655,-0.7990489,-0.53891957,0.69453907,-1.9924248,0.9752265,-0.91034985,0.0154686775,1.4466814,0.96255654,0.19093224,0.7168129,-0.22140802,0.91703767,-0.76788336,-0.7672842,-2.2950344,-0.45238358,-0.093712606,0.2058554,-0.6649078,2.4073331,0.4176432,1.9873253,1.7328762,2.8860297,-0.93352515,0.5651532,-2.364928,-2.2905276,-2.9528577,-1.4043512,-0.8905268,1,STAD
TCGA-BR-4363-01,-2.0600781,-0.4398394,-1.484534,-1.9066291,-0.67859054,0.19235831,0.87229186,-3.098732,0.99962693,2.056078,-0.46672443,-1.7526867,-2.0644128,-2.8382194,-1.3252306,-1.1057261,0.22646064,0.31412604,-3.3229265,3.1993704,-2.3508503,-0.16569144,-0.28075874,-0.43803397,-1.4165756,-0.50468457,1.290325,-1.0053561,-0.92320275,-0.5035797,-3.1146681,0.22022504,2.5571945,-0.43308067,-0.040081523,0.05906342,0.7598916,3.110884,-0.59723955,0.6711393,0.09689002,-1.7872517,-0.9770459,0.6940786,1.925784,-0.5398788,0.99045974,-0.13368523,1.4480906,1.5284803,-0.53022987,0.656962,-0.633484,-1.2890514,-0.48978016,-0.9154226,-4.2738566,0.7905813,-2.9563048,-2.7350988,0.4200813,-0.04169795,-0.51401824,-1.1224661,-2.0515535,-1.2758528,0.63677424,0.5687893,-0.6599197,0.8236495,0.86008406,-1.3906473,1.0385938,0.45985726,0.79499596,2.185879,0.37348136,0.55227715,-0.9561004,1.0263208,-0.7352241,-2.4672904,0.6635262,-0.46093085,-1.349316,-0.71071184,-0.13986203,0.6572863,2.8286722,0.3078176,0.84389424,0.36117172,2.6216416,0.28747398,1.2138729,-3.0618272,-1.2900621,-3.4083161,-0.8694783,-0.7003152,1,STAD
TCGA-BR-4367-01,-1.530135,0.70108056,-1.5011669,-3.419996,-2.3667343,-1.2613559,1.4278843,-2.9744904,-0.01815436,1.6022574,-0.92259866,-2.8612263,-3.4854164,-4.4914603,0.15209174,-0.5017341,-0.6088673,1.0413126,-1.2895838,3.681581,-0.6999151,-0.0868729,-2.368902,0.34994397,-0.96682304,0.68552154,1.687776,-0.6739389,-0.3049748,-1.3551372,-3.0156894,-0.23895329,2.2955017,-0.4273194,-0.025329236,0.10298343,0.34159172,2.461697,-0.803102,1.2797414,0.77384007,-1.7750797,-2.0382316,0.2534015,2.1961966,-0.22538902,1.3981066,-1.1977946,0.90007293,0.44645682,-1.6193414,1.214983,-1.8953854,0.5097534,-0.710783,-2.149613,-4.8659415,1.0974853,-2.820568,-3.178563,0.38240016,0.67767924,-1.3714652,-1.3981564,-2.2436366,-1.0610615,1.1083541,1.2673972,0.45085633,1.4163592,-1.5476842,-3.458986,1.0657092,-2.0096471,-0.45187664,2.569662,-0.98296404,-0.86457396,0.34287673,-1.1318411,0.59592026,-1.179927,-0.08386858,-1.1335623,0.5153718,-1.1533777,0.1966606,-1.0340726,3.5035307,1.7271878,1.6677296,1.538281,3.170139,-0.63312197,2.3500211,-4.10541,-1.3119115,-3.977387,-1.0141253,-0.51591325,1,STAD
TCGA-BR-4368-01,-0.8730007,-0.4599952,-0.643664,-2.8568342,-1.5904161,-0.9233746,0.3260755,-1.9920294,0.6246772,1.8319837,-1.6294955,-2.6595137,-1.412992,-4.3701577,-0.7469405,-1.885432,0.68545043,1.0906653,-2.3479664,3.149638,-0.135313,1.1578143,-0.962202,0.17279522,0.025208991,-0.25450203,2.35541,-0.82105017,-0.7651272,0.018798605,-3.269668,1.4972266,1.3714981,-1.6950408,0.10709497,0.3103419,-0.37883314,2.7679043,-1.225833,1.7485374,0.8218543,-1.2476928,-1.6531535,0.16439445,1.5454565,-1.4009407,0.1313932,-0.7699888,1.7654454,1.9151909,-1.2536298,0.60666555,-1.3632051,-0.898523,-0.838216,-1.4584193,-3.867571,0.70480555,-1.8084456,-1.7543992,0.084890604,-0.30916688,-0.46875817,-1.1141132,-2.3035176,-1.2328683,1.2068723,1.4464747,1.0303037,0.8558308,0.41063774,-1.5478704,-0.09875524,-0.96247745,0.35034925,2.0039027,-0.14478828,0.7674947,-0.42514315,0.32429945,-0.3197686,-1.5619295,0.77385503,-1.040064,1.3646052,-0.40475953,-0.69308,1.2110862,3.4662673,0.7218072,0.7529684,0.07565826,3.3959777,-0.8643433,0.896921,-3.3487346,-1.1188885,-3.5450685,-0.5787471,-0.025101073,1,STAD
TCGA-BR-4369-01,0.17834964,0.19606364,-1.2113396,0.09267938,-0.53627926,-0.7071934,1.5549183,-3.0945156,-1.6589742,2.6796846,-1.6786971,0.50241023,0.46846196,-1.0015613,-0.28053495,-2.4105165,1.2021292,2.0890415,-1.0457467,2.014289,-2.7657027,-1.1405553,2.0928829,-1.8503232,1.2770083,0.41597587,1.7902665,0.8566094,-0.30426958,-1.4862927,-1.1784302,3.362955,2.5264919,-1.2650049,-0.22478451,-0.2933812,1.1402594,1.9880893,-1.3219512,-0.13903165,-0.6976616,-1.3541551,-3.255658,-2.5891542,1.2129396,0.44323543,2.4249184,0.7085189,0.085678495,-0.023453875,0.82735276,-0.07245596,-1.0277084,-0.19036485,-2.3194733,-2.5815136,-0.22325014,2.4511766,-1.1392821,0.81922626,1.8059844,-0.22188106,0.2066797,-1.8680263,-0.45625687,1.0903257,-1.5030127,-1.0338453,-1.2104585,-2.9975886,1.6900628,-1.596153,1.477587,0.92778873,-0.68463385,0.6890124,0.4937064,-1.5109696,0.4532288,0.10571146,-1.0120012,0.8209116,0.1266839,-0.40248114,-0.63051045,-1.90398,1.3160956,-0.43554643,0.99692947,0.9436825,-0.73267746,1.9148074,0.65295106,-0.66063064,-2.0081656,-1.4596037,-1.0904183,-3.1124165,-1.0823286,1.3840209,1,STAD
TCGA-BR-4370-01,-0.8696785,-0.20401084,-1.0933093,-2.8483796,-1.8938984,-0.8539273,0.85059965,-2.088549,0.4306232,1.9980868,-1.5931094,-2.7744265,-1.4257761,-4.380633,-0.69561887,-1.5142349,0.77348936,1.2002782,-2.1572697,3.4533446,-0.5924049,0.93656266,-1.416728,0.075737946,-0.15082794,-0.050374117,2.2476802,-0.72714293,-1.1221019,-0.17857346,-3.558065,1.5572824,1.6198983,-1.653078,-0.10562253,0.21701947,-0.274448,2.7748399,-1.2899523,1.4426241,0.47657186,-1.65468,-1.9447591,0.029982487,1.4815046,-0.93067247,0.7528403,-1.0892172,1.7220547,1.8227314,-1.0067362,0.89380074,-1.2317723,-0.7634393,-1.2491403,-1.7288418,-4.2158155,0.971525,-2.092831,-2.1847234,0.29065022,-0.28406155,-0.8627213,-1.5466363,-2.7133627,-1.2525142,0.9542361,1.3225639,0.45364055,0.6249099,0.2919132,-2.0808613,0.28386083,-0.86820656,-0.22558148,2.2509782,-0.21881591,0.23413634,-0.23598002,-0.18155298,-0.5286629,-1.5935993,0.48535725,-0.7691186,1.1916826,-0.47230804,-0.41209933,0.8611287,3.43271,1.1280438,0.79148525,0.6578707,3.3801796,-0.7842342,1.0167216,-3.7197707,-0.8468915,-3.8845513,-0.57595724,-0.27411264,1,STAD
TCGA-BR-6452-01,-1.4592631,0.42045018,-1.7163169,-2.669149,-1.9386324,-1.2916012,0.8990408,-2.9401002,0.12125323,1.6542434,-0.1941861,-2.846672,-3.9077284,-4.0168676,-0.035407268,-0.54603255,-0.66865534,0.23547333,-1.1925365,3.335354,-0.8809514,0.34206876,-1.5288415,0.7949315,-1.563564,1.1402849,1.2874554,-0.36049184,-0.60220224,-1.8469223,-2.9578035,-0.9337411,3.1404607,0.013839446,-0.20128025,-0.36239707,0.9748701,2.3323839,-0.617326,0.87685347,0.9843696,-1.6589799,-2.2619061,0.60320777,2.0138938,-0.035331283,1.1152664,-1.3526578,0.18504179,0.06603682,-1.0538743,1.3934085,-1.5813669,0.5635837,-0.24682215,-2.320662,-4.1227536,1.2720635,-3.4529455,-3.2724745,0.745397,0.7946828,-0.80578,-0.96240133,-1.4052677,-1.2164541,0.8964303,1.4757774,-0.32635495,0.72561204,-1.1048748,-3.2933843,1.1788943,-1.9404124,-0.3791421,2.7903306,-0.6075082,0.2558177,0.500327,-0.96133417,0.76371485,-1.2578703,-0.5412443,-2.2890732,-0.48140216,-0.032499418,0.23091027,-1.2085552,3.5207012,1.1077634,2.0936847,1.5645767,2.9479845,-0.30824348,2.4349172,-3.5753534,-1.5868397,-3.5323389,-0.9845963,-1.1725162,1,STAD
